TP_SEXO,NT_GER,QE_I01,QE_I02,QE_I08
F,74.3,B,A,D
F,63.8,A,A,C
F,54.7,B,D,A
F,64.6,A,A,B
F,78.1,A,A,A
F,63.5,A,D,A
F,61,B,D,A
F,21,A,A,A
F,37.3,A,D,A
F,33.9,A,A,A
M,40.8,A,D,A
F,39.5,A,A,A
M,55.1,A,D,B
M,33.1,A,A,B
F,58.8,A,A,C
M,37.3,A,D,D
F,33,A,D,A
F,52.8,A,D,A
M,32.8,A,D,B
M,56.5,A,A,B
M,46,A,B,C
F,37.5,A,D,B
M,45,B,A,A
F,50.4,A,D,B
F,44,A,D,C
F,40.1,A,D,B
M,50,A,A,A
M,47.1,A,A,B
M,49.6,A,A,A
F,54.5,A,A,A
F,24,A,A,A
M,48.1,A,D,A
M,30.7,A,A,F
F,56.8,A,D,B
F,44.2,A,A,B
M,28.5,A,A,A
F,39.1,A,A,B
M,41.8,A,D,B
F,33.9,A,D,B
M,58.3,A,D,D
M,45.4,A,A,B
M,53.1,A,D,C
F,42.7,A,A,E
F,44.9,B,D,B
M,69.2,A,D,B
F,27.8,A,A,A
F,36.3,A,A,C
F,46.2,A,D,B
F,55.6,A,A,C
F,55.8,A,D,F
M,19.1,B,D,A
F,55.9,A,D,A
F,46.7,A,A,B
F,27.3,A,A,E
F,51.4,A,B,G
F,51.1,A,A,G
F,41.6,B,A,B
F,49.1,A,A,B
M,48.4,A,D,E
F,45.7,A,B,E
F,52.5,A,A,A
F,46.4,A,A,A
M,25.8,A,C,B
M,43.1,A,D,B
F,55.3,A,B,C
F,63,A,D,A
F,48.5,A,C,B
M,25.5,A,A,B
F,55.6,A,D,A
F,52.5,A,A,C
M,32.8,A,D,D
M,56.6,A,A,B
M,33.5,B,C,A
M,48.4,A,B,C
M,27.8,B,A,B
F,51.6,A,D,C
F,27.4,A,A,A
F,22.3,A,C,A
F,50.6,A,D,B
M,52.5,A,A,F
M,29.1,A,A,B
F,40.4,A,A,A
F,49.8,A,A,A
F,36.9,A,D,B
F,49.4,A,D,A
M,38.8,A,D,B
M,70.4,A,A,C
M,40.6,A,F,A
F,53.9,A,D,B
F,39.9,A,A,A
F,34.4,A,A,A
M,60.8,A,B,A
F,29.1,A,A,A
M,34.3,E,A,A
F,46.8,A,A,B
M,36,A,D,A
M,32.1,A,A,A
F,28.7,A,A,B
F,39.2,A,A,A
F,54.9,A,C,C
M,35.4,A,D,A
M,60,A,C,A
F,54,A,A,A
F,54.4,A,A,C
M,20,A,A,B
F,45.2,A,A,A
M,42.8,A,D,B
F,47,A,D,B
F,38.2,B,A,A
F,46.5,A,A,B
M,65,B,D,B
F,38.3,B,A,C
F,40.6,A,A,A
F,32.1,A,A,B
M,34.3,A,D,A
F,53.3,A,D,B
F,31.7,A,D,A
F,49.8,A,E,A
F,35.6,A,D,A
M,69.5,A,D,A
F,51.1,A,A,A
M,46.8,B,D,A
M,35.5,A,A,A
F,42.8,A,A,A
F,33.4,A,D,A
F,35.6,A,A,B
F,55.7,A,A,B
M,54.3,A,D,A
M,66.3,E,D,A
F,37.4,A,D,A
M,59.1,A,A,A
M,37.6,A,D,A
M,40.5,A,A,C
F,55.6,B,D,A
F,54.8,A,D,A
M,50.1,A,D,A
M,42.9,A,A,A
F,44.6,A,A,A
M,39.7,A,D,B
F,38.7,A,D,A
F,47.4,A,D,A
F,32.2,A,D,A
F,51.3,A,D,A
F,66,A,A,B
F,46.7,A,A,B
F,56.8,A,D,A
M,53.5,B,D,B
M,41.9,A,F,A
F,52.2,A,A,A
F,69,A,D,A
F,34.1,A,A,A
M,48.4,A,D,A
F,39.7,A,D,A
F,35.4,A,D,B
F,46.1,A,D,A
F,38.5,B,D,A
F,49.4,A,D,A
M,30.7,A,D,B
M,43.4,A,D,B
F,39.7,A,D,A
M,39.6,B,D,B
F,59.4,B,D,A
M,42.3,A,A,B
F,43,A,D,A
M,50.8,A,D,A
F,33.5,A,D,A
F,33.6,A,D,A
M,60.3,B,B,A
M,51,A,A,A
M,36.3,A,D,A
M,43.9,A,A,A
F,23.8,B,A,B
M,46,B,D,B
M,18.4,B,D,B
M,39.4,A,D,B
M,56.9,A,D,A
F,29.3,A,D,A
F,61.3,A,D,B
F,32.9,A,A,A
F,36.4,A,A,A
M,53.4,A,D,A
F,35.3,A,D,A
M,23.9,B,D,A
F,32.3,A,A,D
F,40.4,A,A,B
M,43.8,A,D,A
F,33.7,E,D,B
F,34,A,D,A
F,32.2,B,A,A
F,37.1,B,A,C
M,33.3,A,A,A
M,49.4,A,D,B
F,28.1,A,D,A
M,39.8,A,D,A
F,42.5,A,D,A
M,42.8,A,A,B
M,45.7,A,D,A
M,43.9,A,D,A
F,29.7,A,D,A
M,38.8,A,B,A
F,32.1,A,D,A
F,32.3,A,D,A
M,25.9,A,A,A
M,37.3,A,C,A
M,35.5,A,F,A
M,29.9,A,A,A
M,43.1,A,D,B
M,48.2,A,A,B
M,47.5,A,D,B
M,36.1,A,A,A
F,38.1,A,D,A
M,46.4,A,D,A
F,37.2,A,D,A
M,29.5,A,A,B
M,32.4,A,B,B
M,32.8,A,D,A
M,35.6,A,B,B
M,40.9,B,D,B
M,25.9,A,A,A
F,39.7,B,D,A
M,41.5,C,D,A
M,43.2,E,D,B
M,56.8,A,D,B
M,44.6,A,D,E
F,44,A,D,B
M,51.4,A,D,A
F,46,A,D,A
F,44.9,C,D,B
F,45.2,A,D,A
F,39.2,A,D,C
M,43.6,A,D,D
F,41.7,A,A,A
F,49.3,B,C,A
M,55.1,A,A,A
M,33.1,E,D,A
F,28.3,A,A,D
F,46.6,A,D,A
M,42.6,B,D,B
M,59.7,A,A,A
F,48.4,A,A,A
M,34.6,B,A,A
M,30.1,A,D,A
M,43.3,A,B,B
F,53.6,A,D,A
F,33,A,A,C
M,41.2,A,F,B
M,51.6,A,A,B
M,54.5,A,B,A
F,43.3,A,D,A
F,38.8,A,D,A
F,58.3,A,D,B
F,48.7,A,A,B
M,53.6,A,A,C
F,58.5,A,D,A
M,48.8,A,D,A
F,59.5,A,D,A
M,54,A,B,A
M,30,C,D,A
F,47.8,A,A,C
F,37.9,A,A,B
F,35.8,A,B,B
M,53.2,A,A,A
M,55.3,A,A,A
F,55.3,A,D,A
F,56.6,A,D,B
M,29.3,A,D,A
F,56.8,B,D,B
M,36,A,D,B
M,28.9,A,A,B
F,33.1,NA,NA,NA
M,42.9,A,A,A
M,37.4,A,A,A
F,33.2,A,C,A
F,48.4,A,A,B
M,26.2,A,D,A
F,44.8,A,A,B
F,26,A,D,A
M,48.2,E,D,A
F,32.9,A,D,A
F,22.4,A,D,A
F,38.8,A,D,A
M,36.3,A,B,B
F,24.7,A,D,A
F,43.2,A,C,A
F,43.6,A,A,A
F,36.1,A,D,A
F,26.2,B,D,A
F,33.1,A,A,B
F,46.8,A,A,B
F,24.3,A,A,B
F,30.8,A,D,A
F,28.6,A,D,A
F,23.6,A,D,B
M,53.8,A,A,B
F,13.4,C,A,A
F,24,A,A,A
F,23.4,B,D,A
M,29.1,A,A,B
M,44,A,A,A
F,26.4,A,B,C
M,42.9,A,D,C
M,47.2,A,D,A
F,27,A,D,B
F,37.2,A,A,E
F,44.3,A,C,A
F,32.4,A,D,A
M,26.9,A,D,B
M,45.3,A,A,A
F,55.7,A,D,B
M,43.7,A,F,B
F,42.6,A,D,A
M,27.9,A,A,A
F,30.7,A,D,A
M,28,A,A,B
F,54,A,D,A
M,26.1,A,A,B
M,66.4,A,A,A
F,27.3,A,A,B
F,27,A,A,B
F,52.2,E,A,D
M,54.2,A,D,A
M,16.4,A,A,A
F,50.7,B,D,C
F,35.9,A,A,B
F,53.1,A,D,B
F,37.4,A,C,B
F,41.2,A,A,B
M,34.2,A,A,E
F,37.1,A,D,A
F,43.4,A,D,A
M,34.1,A,D,A
F,42.7,A,A,C
F,56.3,A,A,C
M,52.4,A,A,A
F,36.1,A,D,C
F,48.1,A,D,B
M,27.7,A,B,D
F,49.4,A,D,B
F,49.6,A,D,B
F,41.9,A,A,F
M,63.1,A,A,D
M,41.5,A,A,E
M,22.7,A,D,E
F,45.9,A,D,B
F,53.1,A,A,C
M,53.2,A,A,C
F,45.1,A,B,F
F,41.8,A,B,E
M,28.5,A,D,A
F,38.1,A,D,D
M,58.3,A,A,E
F,33.3,A,F,D
F,48.1,A,D,E
M,47.4,A,A,C
F,37.8,A,D,C
M,44.1,A,D,E
M,57.1,A,D,B
M,68.5,A,A,A
M,55.3,A,A,E
M,47.9,A,B,D
F,42.6,A,A,C
M,43.9,A,A,C
F,39.2,A,D,B
F,46.3,A,D,E
F,41.7,A,A,A
M,45,B,D,A
M,35,B,A,C
M,54.9,E,B,B
M,44.9,A,F,B
M,49.4,B,D,A
M,39.8,A,D,C
M,34.1,A,B,B
M,47.4,A,A,B
M,46.2,A,B,A
F,52.1,A,D,A
M,47.4,B,D,B
M,49.3,B,D,B
M,30.4,B,A,B
F,44.3,A,A,C
M,39.5,A,A,B
F,35,A,D,A
M,59,A,B,A
M,31.5,A,D,A
M,54.7,A,D,A
M,43,B,D,B
M,57.8,A,D,B
F,60.8,A,D,B
F,44.2,A,C,A
M,65.3,A,D,B
M,43.1,B,B,A
F,49.2,A,A,B
F,39.1,B,D,A
F,50.6,D,B,A
M,64.4,A,D,A
F,43.4,B,A,A
M,49.2,A,D,B
F,34.9,A,A,A
F,46.5,A,A,A
M,63.1,B,D,A
F,48.1,A,D,A
M,60.4,A,D,A
M,22.8,B,D,A
F,34.4,C,B,A
M,49.6,A,D,A
M,43.6,A,B,D
F,36.7,A,C,A
F,44.3,A,D,A
M,61.5,A,A,B
F,43.3,A,B,A
M,46.8,A,C,D
M,40.7,A,D,A
M,59.2,A,D,C
M,27.1,A,A,B
M,74.6,A,D,A
F,57.2,A,A,A
F,35.8,B,D,A
F,52.4,A,D,A
M,45.5,E,A,A
M,73.3,A,D,A
F,73.9,A,D,A
M,42.3,A,A,A
M,45.1,A,B,A
M,59.5,A,D,A
F,48.9,A,D,A
F,46.1,A,A,A
M,43.2,A,A,A
M,42.8,A,A,A
F,37.3,A,D,A
F,62.6,A,D,B
M,42,A,D,A
F,27.1,A,A,A
F,45.6,A,B,B
F,29.7,A,D,A
F,53,A,A,A
M,63.8,A,D,A
M,56.3,A,D,B
F,49.1,A,D,A
F,47.5,A,D,B
F,65.8,A,D,B
F,35.6,A,A,B
M,39.9,A,D,B
M,56.3,NA,NA,NA
M,46.7,B,A,B
F,57.6,A,D,A
M,18.8,A,D,A
M,44.2,A,D,B
M,70.9,A,D,A
M,52.6,B,F,D
F,38.7,A,D,A
F,70.3,NA,NA,NA
F,61.9,A,D,A
F,62.5,A,A,A
M,50.8,A,B,A
F,31.8,E,D,B
M,43.9,A,D,D
F,28.3,A,D,B
M,68.6,A,A,B
M,49.3,A,A,B
M,47.2,A,A,B
M,62.5,A,A,E
F,41.4,A,D,B
F,54.3,C,D,B
M,65.2,A,A,E
M,72.4,A,D,B
M,79,A,A,F
M,45.3,A,D,A
M,40.3,A,A,B
M,60.3,A,A,F
M,48.2,A,A,B
M,36.6,A,F,C
F,30.7,A,D,B
F,40.6,A,D,A
F,34.4,A,A,B
F,35.7,A,D,B
F,36.9,A,D,A
M,49,A,A,B
F,28.4,A,A,A
F,51,B,A,A
M,47.5,A,A,B
F,46.7,A,A,B
M,42.3,B,A,B
M,44.5,E,D,A
F,35,A,B,F
F,29.7,A,A,B
F,28.8,A,C,A
F,44.2,B,A,A
F,46.3,A,A,A
F,49,A,F,C
F,30.8,A,B,A
F,39.2,A,A,B
M,42.8,A,A,A
F,30.9,A,A,B
F,26.8,A,D,B
M,40.4,A,D,C
F,20.5,A,A,B
M,42.1,A,D,B
F,46.4,A,A,F
M,34,A,A,A
F,16.8,A,D,A
F,42.2,A,D,B
M,33.9,A,A,B
F,31,A,D,B
M,39.5,A,A,A
F,37.9,A,C,B
F,9.1,A,D,B
M,48.8,A,D,A
M,28.5,A,A,A
M,23.5,A,A,B
F,21.6,A,A,A
F,27.7,A,D,A
F,40.8,A,D,A
F,31.3,A,A,B
F,42.1,A,D,B
F,18.8,A,A,A
M,30.2,A,B,A
M,40.9,A,A,A
F,34.3,A,D,A
F,37.5,A,A,E
M,29.6,A,B,B
M,39.4,A,D,A
M,37.6,NA,NA,NA
M,51.4,A,D,B
F,38.3,A,A,D
M,47.8,A,D,B
M,57.6,A,D,C
F,46.8,A,F,B
M,33.6,A,D,B
M,21.3,A,D,C
M,32.5,A,A,A
F,30.6,A,A,F
F,31.4,A,D,B
M,49.2,A,D,A
F,44.1,A,A,A
M,55.6,NA,NA,NA
F,48.5,A,D,A
M,49.8,A,D,A
F,54.3,NA,NA,NA
M,42,A,A,C
M,54,A,A,B
F,46.2,A,D,A
M,28.1,A,D,B
M,42.4,A,D,A
F,40.1,NA,NA,NA
M,58.4,A,D,D
F,33.2,NA,NA,NA
F,30.7,A,D,B
F,34.6,E,A,A
M,29.6,NA,NA,NA
F,37.2,B,D,A
M,29.4,A,A,B
F,60.6,A,D,A
F,40,A,D,A
M,50.2,A,A,B
M,43.3,A,D,A
M,38.1,A,A,B
M,66.3,A,D,A
F,46.4,A,A,B
F,41.9,A,D,A
F,32.7,A,B,A
F,34.9,B,D,B
F,40.7,E,A,A
M,39.8,NA,NA,NA
F,63.8,B,F,B
F,40.7,B,B,A
F,56.6,A,D,A
F,53.6,A,D,A
F,35.7,B,D,A
M,47.4,E,B,A
M,50.8,A,D,E
M,41.5,A,C,B
F,56.4,A,A,B
F,45.2,A,D,A
F,35.9,A,D,A
M,37.6,D,C,B
M,13.2,NA,NA,NA
F,54.2,A,A,A
M,53.6,A,A,B
F,40.6,A,D,A
F,35.9,A,A,B
F,43.9,A,D,A
F,45.3,A,B,B
F,39.5,A,A,A
F,26.4,A,A,A
F,53.3,A,B,A
F,40.6,A,A,B
M,51.6,A,D,A
F,10.9,A,D,A
F,27.2,A,D,A
F,35.9,E,D,A
F,43.4,A,A,A
F,47.9,A,D,A
F,42.6,A,D,A
F,23.8,B,D,A
F,51.7,A,D,B
F,35,A,A,B
F,44,A,A,B
F,43.1,B,D,B
M,65.4,A,A,C
F,73.6,A,A,F
M,73.9,A,D,C
F,47.6,A,A,D
M,29.9,A,D,B
M,65.8,A,F,C
F,40.6,A,A,C
M,75.8,A,D,A
M,68.8,A,D,B
F,64.7,A,A,B
F,50.6,A,A,B
M,68.2,B,A,E
F,75.1,A,A,F
M,71.1,A,D,F
M,53.7,A,D,E
F,62.3,A,A,B
F,70,A,A,C
M,73,A,A,D
F,53.3,A,A,C
M,39.8,A,A,C
F,80.2,A,A,E
F,68.5,A,A,F
M,55.7,A,A,F
M,70.1,A,D,D
F,76.4,A,D,E
F,76.9,A,D,F
F,64.7,A,A,E
F,76.4,A,A,F
M,60.5,A,A,E
M,77.8,A,A,C
F,64.5,A,A,C
F,60.5,A,A,F
M,65.2,A,A,C
F,64,C,A,C
F,50,A,A,B
F,84.8,A,A,D
M,70.1,A,D,A
F,77,A,A,F
F,66.1,A,D,A
F,62.6,A,A,C
F,56.5,A,A,B
F,61.2,A,D,C
F,64.9,A,A,C
F,66.8,A,A,D
M,73.7,A,A,E
F,53.1,A,A,D
F,74.6,A,D,C
M,53.9,A,F,D
M,38.2,A,D,D
M,34,A,D,B
F,32.6,A,B,B
M,40.6,C,A,C
F,43.6,A,D,A
F,39.9,A,D,A
M,69.7,A,D,C
F,44.4,B,A,A
F,53.8,A,A,A
F,33.5,A,B,A
M,29,A,D,A
M,27.8,B,D,A
F,51.7,A,D,A
F,40.7,A,D,B
F,49.1,A,A,A
F,48.7,A,D,A
F,33.8,E,A,A
M,39.7,A,D,A
F,29.8,B,C,A
M,16.3,B,A,C
F,46.8,B,D,A
F,49.8,A,D,A
M,46.9,A,D,B
F,40.3,A,B,A
M,34.2,B,D,A
F,25.3,A,D,A
F,36.7,B,D,B
M,34.4,A,A,B
F,38,C,D,A
F,47.7,E,D,B
M,33.3,A,A,A
M,41.6,A,A,B
F,49.4,A,B,A
M,29.8,B,D,A
M,45.8,A,A,A
M,28.4,A,C,A
M,43,A,D,B
M,63.1,A,D,B
M,37.2,A,A,B
M,32.8,A,D,A
M,48,A,A,A
F,23.9,A,D,B
F,27.3,B,A,A
M,31.5,B,D,A
M,28.5,A,D,A
F,31.1,A,D,B
F,35.9,A,D,B
M,21.9,A,D,A
F,31.2,B,D,A
F,37.2,A,A,B
M,58.5,A,D,A
M,20.2,A,D,B
F,49.4,B,D,C
F,45.5,NA,NA,NA
F,36.6,A,A,A
M,48.4,A,D,A
M,55,A,D,A
M,59.4,B,F,A
M,32.1,A,D,A
M,64.6,A,D,A
F,45.7,A,D,A
F,45.2,B,A,A
M,55,A,B,A
F,35,A,D,B
F,63.2,A,A,B
F,47.2,A,A,B
F,49.9,A,B,A
M,52.5,A,D,A
F,44.9,A,D,A
M,64,A,C,A
F,36.5,A,A,B
F,73.9,A,B,A
F,52.7,A,F,A
F,63.5,C,D,A
F,53,A,D,A
F,51.7,A,A,A
F,36.2,A,A,A
M,42.2,A,A,A
F,75.4,A,D,A
F,45.4,A,D,A
M,43.8,A,D,A
M,52.7,A,D,A
F,51.2,A,D,A
F,53.6,A,B,B
F,65.2,B,B,A
F,32.5,A,D,A
F,43.4,A,A,A
F,32.6,B,A,A
M,62.1,B,D,B
M,66.2,A,A,A
F,44.5,C,D,A
F,63.9,A,D,B
F,68.2,B,D,A
F,41.6,A,D,A
F,41.4,A,D,A
M,31.7,A,A,B
F,64.5,A,B,A
F,66.3,A,D,E
F,69.3,A,D,A
F,38.6,A,D,C
F,54.3,A,A,A
F,50.1,A,B,A
F,56.5,B,C,B
F,41.2,B,A,A
F,52,A,B,A
F,62.7,B,A,B
F,35.9,A,D,E
F,51.7,B,D,B
F,50.5,A,D,A
M,66.1,A,D,B
F,55.2,A,D,B
F,43.5,B,B,A
F,54.9,A,A,B
F,49.3,A,D,B
F,52.1,A,A,A
F,40,B,C,D
F,54.1,A,A,D
M,53.8,E,A,A
M,55.7,E,F,A
F,74,B,D,A
F,48.1,A,A,B
F,42,A,C,B
F,48.8,A,D,A
M,53.1,A,D,C
F,57.7,A,A,D
F,47.3,A,D,C
F,61,A,F,B
F,63.8,A,E,C
F,53.9,A,A,D
F,59.9,A,A,A
F,58.3,A,D,A
F,49,A,C,A
F,38.8,A,B,A
F,43,A,A,B
F,46.5,B,D,A
M,52.4,A,A,A
F,57.5,A,A,A
F,21.4,B,B,A
M,45.4,A,A,A
F,41.5,A,A,C
F,54.3,B,A,A
F,59.5,A,D,B
F,54.4,B,A,B
F,47.4,A,D,A
F,32.6,A,B,A
M,55.5,A,D,B
F,26.6,A,A,A
F,37.6,A,A,A
F,59.8,A,D,A
F,27.1,A,D,A
M,42.6,A,D,A
M,59.1,A,D,A
F,38.5,A,D,A
F,47.4,B,A,A
M,41.3,B,D,A
F,51.2,A,B,A
M,55.4,A,A,B
M,42.4,A,D,A
F,47.6,A,D,A
F,39.7,A,D,A
F,64.2,A,A,A
M,60.2,A,A,A
F,38.6,B,D,A
M,69.2,A,D,B
F,54.3,A,D,A
M,60.8,A,A,B
F,34.8,B,D,A
M,46.9,B,D,C
F,47.6,A,C,A
F,39.7,B,D,A
M,48.2,A,F,B
F,33.9,B,D,A
F,47,A,A,A
F,51.2,A,B,A
F,55.3,A,A,B
F,79.5,A,A,B
M,62.5,A,D,A
F,50.4,A,A,A
F,32.8,A,A,A
M,27.1,A,D,A
F,62.3,A,D,A
M,38.1,A,A,B
F,38.3,B,F,A
M,48.6,A,B,A
F,51.8,A,D,A
F,51.1,A,B,C
F,50.1,A,D,B
M,41.9,A,D,A
F,46.7,A,B,A
F,34.9,A,A,A
M,NA,A,D,A
